1	the	a	50033612	50385,16
2	be	v	32394756	32622,71
3	and	c	24778098	24952,20
4	a	a	24225478	24395,69
5	of	i	23159162	23321,89
6	to	t	16770155	16887,99
7	in	i	15670692	15780,80
8	i	p	14217601	14317,50
9	you	p	12079413	12164,29
10	it	p	11042044	11119,63
11	have	v	10514314	10588,23
12	to	i	9232572	9297,44
13	that	c	8319512	8377,97
14	for	i	8194970	8252,55
15	do	v	8186412	8244,70
16	he	p	6467470	6512,91
17	with	i	6442861	6488,13
18	on	i	6080156	6122,88
19	this	d	5541440	5580,30
21	we	p	5180711	5217,11
22	that	d	5002963	5038,12
23	not	x	4655980	4688,69
24	but	c	4523086	4554,87
25	they	p	4503650	4535,29
26	say	v	4096416	4125,20
27	at	i	4024079	4052,35
28	what	d	3807502	3834,25
29	his	a	3718978	3745,11
30	from	i	3711425	3737,50
31	go	v	3546732	3571,65
32	or	c	3420339	3444,37
33	by	i	3372222	3395,92
34	get	v	3347615	3371,14
35	she	p	3188078	3210,48
36	my	a	3106939	3128,77
37	can	v	3091046	3113,52
38	as	c	2946119	2966,82
39	know	v	2761628	2781,03
40	if	c	2709809	2728,85
41	me	p	2638743	2657,28
42	your	a	2577505	2595,62
43	all	d	2503556	2521,15
44	who	p	2493429	2510,95
45	about	i	2427703	2444,76
46	their	a	2417058	2434,04
47	will	v	2372215	2391,52
48	so	r	2369749	2382,89
49	would	v	2349400	2365,91
50	make	v	2290830	2306,93
51	just	r	2270900	2286,86
52	up	r	2108756	2123,57
53	think	v	2077762	2092,36
54	time	n	2018725	2032,91
55	there	e	1980173	1994,09
56	see	v	1958700	1972,46
57	her	a	1931189	1944,76
58	as	i	1880190	1893,40
59	out	r	1828593	1841,44
60	one	m	1816593	1829,36
61	come	v	1802158	1814,82
62	people	n	1800205	1812,85
63	take	v	1768822	1780,53
64	year	n	1729962	1742,14
65	him	p	1717209	1729,27
66	them	p	1701589	1713,54
67	some	d	1684262	1696,10
68	want	v	1671524	1683,27
69	how	r	1666469	1678,18
70	when	c	1650353	1661,95
